DATUM_ABSTIMMUNG;VORLAGE_BEZEICHNUNG;VORLAGEART_CODE;VORLAGEART_BEZEICHNUNG;BEZIRK_NR;BEZIRK_NAME;BFS_NR_GEMEINDE;GEMEINDE_NAME;STIMMBERECHTIGTE;EINGELEGTE_STIMMEN;LEERE_STIMMEN;UNGUELTIGE_STIMMEN;GUELTIGE_STIMMEN;JA_STIMMEN;NEIN_STIMMEN;STIMMBETEILIGUNG
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2012;Frauenfeld;4601;Neunforn;726;249;10;0;239;152;87;34.3
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2012;Frauenfeld;4841;Pfyn;1362;377;10;3;364;246;118;27.68
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2013;Kreuzlingen;4846;Raperswilen;298;113;2;1;110;65;45;37.92
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2014;Münchwilen;4751;Rickenbach b. Wil;1507;419;13;7;399;248;151;27.8
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2011;Arbon;4431;Roggwil;1979;581;21;14;546;357;189;29.36
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2011;Arbon;4436;Romanshorn;6069;2429;151;14;2264;1601;663;40.02
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2013;Kreuzlingen;4851;Salenstein;770;305;7;4;294;170;124;39.61
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2011;Arbon;4441;Salmsach;813;211;6;2;203;145;58;25.95
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2012;Frauenfeld;4546;Schlatt;1129;383;21;8;354;214;140;33.92
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2015;Weinfelden;4756;Schönholzerswilen;548;154;2;2;150;96;54;28.1
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2014;Münchwilen;4761;Sirnach;4562;1176;32;25;1119;719;400;25.78
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2011;Arbon;4446;Sommeri;377;113;5;1;107;63;44;29.97
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2012;Frauenfeld;4864;Steckborn;2266;724;31;23;670;453;217;31.95
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2012;Frauenfeld;4606;Stettfurt;789;307;8;3;296;199;97;38.91
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2015;Weinfelden;4506;Sulgen;2220;670;18;2;650;425;225;30.18
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2013;Kreuzlingen;4696;Tägerwilen;2134;618;25;15;578;349;229;28.96
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2012;Frauenfeld;4611;Thundorf;970;252;9;0;243;155;88;25.98
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2014;Münchwilen;4776;Tobel-Tägerschen;942;254;6;4;244;151;93;26.96
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2012;Frauenfeld;4616;Uesslingen-Buch;800;202;9;0;193;109;84;25.25
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2011;Arbon;4451;Uttwil;1177;387;9;5;373;235;138;32.88
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2012;Frauenfeld;4871;Wagenhausen;1088;328;24;0;304;183;121;30.15
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2013;Kreuzlingen;4701;Wäldi;710;214;9;3;202;108;94;30.14
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2014;Münchwilen;4781;Wängi;2885;793;32;13;748;478;270;27.49
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2012;Frauenfeld;4621;Warth-Weiningen;919;308;15;17;276;189;87;33.51
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2015;Weinfelden;4946;Weinfelden;7129;2397;63;34;2300;1550;750;33.62
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2015;Weinfelden;4951;Wigoltingen;1566;407;11;4;392;234;158;25.99
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2014;Münchwilen;4786;Wilen;1442;436;9;7;420;311;109;30.24
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2015;Weinfelden;4791;Wuppenau;770;220;7;0;213;153;60;28.57
2012.06.17;Planungs- und Baugesetz;4;Fakultatives Referendum;2015;Weinfelden;4511;Zihlschlacht-Sitterdorf;1447;377;11;14;352;214;138;26.05
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2014;Münchwilen;4551;Aadorf;5775;2554;40;61;2453;1234;1219;44.23
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2015;Weinfelden;4711;Affeltrangen;1615;893;6;9;878;472;406;55.29
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2013;Kreuzlingen;4641;Altnau;1324;884;1;0;883;303;580;66.77
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2015;Weinfelden;4881;Amlikon-Bissegg;951;587;2;0;585;337;248;61.72
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2011;Arbon;4461;Amriswil;7370;4396;23;88;4285;2791;1494;59.65
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2011;Arbon;4401;Arbon;8186;4282;29;99;4154;2406;1748;52.31
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2012;Frauenfeld;4536;Basadingen-Schlattingen;1182;575;14;9;552;240;312;48.65
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2015;Weinfelden;4891;Berg;2151;1329;10;28;1291;717;574;61.79
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2012;Frauenfeld;4801;Berlingen;577;366;3;10;353;181;172;63.43
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2014;Münchwilen;4716;Bettwiesen;707;315;1;6;308;148;160;44.55
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2014;Münchwilen;4721;Bichelsee-Balterswil;1874;878;15;18;845;367;478;46.85
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2015;Weinfelden;4901;Birwinken;936;654;0;6;648;255;393;69.87
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2015;Weinfelden;4471;Bischofszell;3487;1767;11;13;1743;929;814;50.67
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2013;Kreuzlingen;4643;Bottighofen;1234;876;7;8;861;547;314;70.99
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2014;Münchwilen;4723;Braunau;484;260;3;3;254;125;129;53.72
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2015;Weinfelden;4911;Bürglen;2118;1260;13;29;1218;801;417;59.49
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2015;Weinfelden;4921;Bussnang;1501;929;12;2;915;432;483;61.89
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2012;Frauenfeld;4545;Diessenhofen;2039;995;24;0;971;484;487;48.8
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2011;Arbon;4406;Dozwil;421;295;0;3;292;152;140;70.07
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2011;Arbon;4411;Egnach;2952;2023;6;48;1969;1124;845;68.53
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2015;Weinfelden;4476;Erlen;2048;1321;3;9;1309;734;575;64.5
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2013;Kreuzlingen;4646;Ermatingen;1798;1029;6;12;1011;549;462;57.23
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2012;Frauenfeld;4806;Eschenz;1139;527;9;2;516;205;311;46.27
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2014;Münchwilen;4724;Eschlikon;2836;1353;19;24;1310;611;699;47.71
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2012;Frauenfeld;4561;Felben-Wellhausen;1645;753;4;15;734;432;302;45.78
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2014;Münchwilen;4726;Fischingen;1898;955;12;10;933;389;544;50.32
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2012;Frauenfeld;4566;Frauenfeld;15360;7650;132;83;7435;4058;3377;49.8
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2012;Frauenfeld;4571;Gachnang;2357;1197;12;25;1160;702;458;50.78
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2013;Kreuzlingen;4651;Gottlieben;168;110;3;2;105;67;38;65.48
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2013;Kreuzlingen;4656;Güttingen;959;674;2;4;668;342;326;70.28
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2015;Weinfelden;4486;Hauptwil-Gottshaus;1281;619;7;6;606;292;314;48.32
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2011;Arbon;4416;Hefenhofen;864;556;0;13;543;252;291;64.35
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2012;Frauenfeld;4811;Herdern;685;369;3;14;352;204;148;53.87
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2015;Weinfelden;4495;Hohentannen;413;255;1;4;250;118;132;61.74
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2012;Frauenfeld;4816;Homburg;1086;608;9;17;582;286;296;55.99
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2011;Arbon;4421;Horn;1790;855;5;16;834;559;275;47.77
2012.09.23;Beschluss des Grossen Rates betreffend Erweiterung des Strassennetzes (Netzbeschluss um die Bodensee-Thurtalstrasse (BTS) und Oberlandstrasse (OLS));3;Obligatorisches Referendum;2012;Frauenfeld;4590;Hüttlingen;605;326;1;5;320;142;178;53.88
